i, मैं,
me, मुझे,
my, मेरे,
myself, खुद,
we, हम,
our, हमारी,
ours, हमारा,
ourselves, हम,
you, आप,
you're, आप कर रहे हैं,
you've, आपने,
you'll, आप करेंगे,
you'd, आप चाहते,
your, तुंहारे,
yours, आपका अपना,
yourself, स्वयं,
yourselves, स्वयं,
he, वह,
him, उसे,
his, उनके,
himself, स्वयं,
she, वह,
she's, वह है,
her, उसके,
hers, उसकी,
herself, स्वयं,
it, यह,
it's, आईटी इस,
its, आईटी इस,
itself, अपने आप,
they, वे,
them, उन्हें,
their, जो अपने,
theirs, उन लोगों के,
themselves, अपने,
what, क्या,
which, कौन कौन से,
who, कौन,
whom, किसको,
this, इस,
that, उस,
that'll, कि हूँ,
these, इन,
those, उन,
am, कर रहा हूँ,
is, है,
are, कर रहे हैं,
was, था,
were, थे,
be, होना,
been, गया,
being, किया जा रहा है,
have, है,
has, है,
had, था,
having, होने,
do, कर,
does, कर देता है,
did, किया,
doing, करते हुए,
a, ए,
an, एक,
the, ,
and, तथा,
but, परंतु,
if, अगर,
or, या,
because, इसलिये,
as, जैसा,
until, जब तक,
while, जबकि,
of, का,
at, पर,
by, द्वारा,
for, के लिये,
with, साथ में,
about, के बारे में,
against, विरुद्ध,
between, के बीच,
into, में,
through, के माध्यम से,
during, दौरान,
before, से पहले,
after, बाद,
above, ऊपर,
below, नीचे,
to, सेवा मेरे,
from, से,
up, ऊपर,
down, नीचे,
in, में,
out, बाहर,
on, पर,
off, बंद,
over, ऊपर,
under, के अंतर्गत,
again, फिर,
further, आगे की,
then, फिर,
once, एक बार,
here, यहाँ,
there, क्या आप वहां मौजूद हैं,
when, कब,
where, कहा पे,
why, क्यूं कर,
how, किस तरह,
all, सब,
any, कोई,
both, दोनों,
each, से प्रत्येक,
few, कुछ,
more, अधिक,
most, अधिकांश,
other, अन्य,
some, कुछ,
such, ऐसा,
no, नहीं,
nor, न,
not, नहीं,
only, केवल,
own, अपना,
same, वही,
so, इसलिए,
than, से,
too, बहुत,
very, बहुत,
s, रों,
t, टी,
can, कर सकते हैं,
will, मर्जी,
just, केवल,
don, डॉन,
don't, नहीं,
should, चाहिए,
should've, है चाहिए,
now, अभी व,
d, घ,
ll, डालूँगा,
m, मीटर,
o, ,
re, फिर से,
ve, और,
y, और,
ain, ऐन,
aren, नहीं हैं,
aren't, नहीं कर रहे हैं,
couldn, नहीं कर सका,
couldn't, नहीं कर सका,
didn, didn,
didn't, नहीं था,
doesn, नहीं करता है,
doesn't, नहीं है,
hadn, hadn,
hadn't, नहीं था,
hasn, hasn,
hasn't, नहीं है,
haven, हेवन,
haven't, नहीं है,
isn, प्रतिसाद नहीं,
isn't, नहीं है,
ma, क्या,
mightn, mightn,
mightn't, नहीं हो सकता है,
mustn, mustn,
mustn't, मना है,
needn, needn,
needn't, नहीं की जरूरत है,
shan, पहाड़,
shan't, नहीं करेगा,
shouldn, shouldn,
shouldn't, नहीं करना चाहिए,
wasn, नहीं था,
wasn't, नहीं था,
weren, बाहर रहो,
weren't, नहीं थे,
won, जीत लिया,
won't, नहीं होगा,
wouldn, नहीं होगा,
wouldn't, नहीं होगा'